Data Zone,Intermediate Geography Name,All people,Work or study mainly at or from home,Underground metro light rail or tram,Train,Bus minibus or coach,Taxi or minicab,Driving a car or van,Passenger in a car or van,Motorcycle scooter or moped,Bicycle,On foot,Other
S01003704,Drumry West,332,47,-,24,84,3,82,30,-,2,58,2
S01003705,Drumchapel South,477,68,3,35,117,7,95,38,1,2,108,3
S01003706,Drumchapel South,378,58,2,23,119,2,89,33,1,-,46,5
S01003707,Drumry West,635,112,5,27,131,12,149,78,-,5,116,-
S01003708,Drumchapel North,484,100,1,12,161,6,60,37,-,3,104,-
S01003709,Drumry East,306,70,2,9,80,2,55,17,-,4,66,1
S01003710,Summerston Central and West,695,77,2,20,170,8,242,63,1,5,103,4
S01003711,Drumchapel North,507,98,1,17,130,15,97,39,-,-,106,4
S01003712,Drumry West,535,70,1,30,114,6,173,57,1,2,78,3
S01003713,Drumry East,255,30,1,9,64,7,58,28,-,-,57,1
S01003714,Drumchapel North,394,53,2,15,89,5,126,35,2,3,61,3
S01003715,Drumry West,546,57,2,30,116,5,194,87,2,1,51,1
S01003716,Drumchapel North,267,52,2,5,67,1,48,15,-,3,72,2
S01003717,Drumry East,459,76,-,8,118,2,112,43,-,1,99,-
S01003718,Drumry East,455,56,-,21,99,5,126,56,-,1,90,1
