FeatureCode,DateCode,Measurement,Units,Value,Tourism Activity,Breakdown of Domestic Tourism
S92000003,2016,Count,million pounds (GBP),1380,Shopping for items that you do not regularly buy,Expenditure
S92000003,2013,Count,million pounds (GBP),1512,Shopping for items that you do not regularly buy,Expenditure
S92000003,2014,Count,million pounds (GBP),1536,Shopping for items that you do not regularly buy,Expenditure
S92000003,2014,Count,Million Visits,31,Went out for a meal,Visits
S92000003,2015,Count,million pounds (GBP),1631,Went out for a meal,Expenditure
S92000003,2016,Count,million pounds (GBP),1892,Went out for a meal,Expenditure
S92000003,2013,Count,Million Visits,29,Went out for a meal,Visits
S92000003,2014,Count,million pounds (GBP),1966,Went out for a meal,Expenditure
S92000003,2015,Count,Million Visits,35,Went out for a meal,Visits
S92000003,2016,Count,Million Visits,36,Went out for a meal,Visits
S92000003,2013,Count,million pounds (GBP),1675,Went out for a meal,Expenditure
S92000003,2015,Count,Million Visits,12,Watched live sporting events (not on TV),Visits
S92000003,2015,Count,million pounds (GBP),400,Watched live sporting events (not on TV),Expenditure
S92000003,2016,Count,Million Visits,12,Watched live sporting events (not on TV),Visits
S92000003,2014,Count,Million Visits,9,Watched live sporting events (not on TV),Visits
S92000003,2016,Count,million pounds (GBP),469,Watched live sporting events (not on TV),Expenditure
S92000003,2013,Count,million pounds (GBP),243,Watched live sporting events (not on TV),Expenditure
S92000003,2013,Count,Million Visits,8,Watched live sporting events (not on TV),Visits
S92000003,2014,Count,million pounds (GBP),421,Watched live sporting events (not on TV),Expenditure
S92000003,2014,Count,million pounds (GBP),5020,All,Expenditure
S92000003,2016,Count,million pounds (GBP),4916,All,Expenditure
S92000003,2015,Count,million pounds (GBP),3922,All,Expenditure
S92000003,2013,Count,million pounds (GBP),4647,All,Expenditure
S92000003,2013,Count,Million Visits,124,All,Visits
S92000003,2015,Count,Million Visits,124,All,Visits
S92000003,2016,Count,Million Visits,142,All,Visits
S92000003,2014,Count,Million Visits,127,All,Visits
S92000003,2014,Count,million pounds (GBP),1376,Visited friends or family for leisure,Expenditure
S92000003,2016,Count,million pounds (GBP),1158,Visited friends or family for leisure,Expenditure
S92000003,2015,Count,million pounds (GBP),1186,Visited friends or family for leisure,Expenditure
S92000003,2013,Count,million pounds (GBP),1065,Visited friends or family for leisure,Expenditure
S92000003,2014,Count,Million Visits,41,Visited friends or family for leisure,Visits
S92000003,2013,Count,Million Visits,41,Visited friends or family for leisure,Visits
S92000003,2015,Count,Million Visits,46,Visited friends or family for leisure,Visits
S92000003,2016,Count,Million Visits,44,Visited friends or family for leisure,Visits
S92000003,2015,Count,Million Visits,18,General day out/ to explore an area,Visits
S92000003,2013,Count,million pounds (GBP),528,General day out/ to explore an area,Expenditure
S92000003,2016,Count,million pounds (GBP),806,General day out/ to explore an area,Expenditure
S92000003,2016,Count,Million Visits,19,General day out/ to explore an area,Visits
S92000003,2015,Count,million pounds (GBP),506,General day out/ to explore an area,Expenditure
S92000003,2014,Count,million pounds (GBP),715,General day out/ to explore an area,Expenditure
S92000003,2014,Count,Million Visits,19,General day out/ to explore an area,Visits
S92000003,2013,Count,Million Visits,17,General day out/ to explore an area,Visits
S92000003,2013,Count,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
S92000003,2015,Count,Million Visits,9,Day trips/excursions for other leisure purpose,Visits
S92000003,2014,Count,Million Visits,10,Day trips/excursions for other leisure purpose,Visits
S92000003,2016,Count,Million Visits,12,Day trips/excursions for other leisure purpose,Visits
S92000003,2013,Count,million pounds (GBP),312,Day trips/excursions for other leisure purpose,Expenditure
S92000003,2015,Count,million pounds (GBP),269,Day trips/excursions for other leisure purpose,Expenditure
S92000003,2016,Count,million pounds (GBP),330,Day trips/excursions for other leisure purpose,Expenditure
S92000003,2014,Count,million pounds (GBP),599,Day trips/excursions for other leisure purpose,Expenditure
S92000003,2014,Count,million pounds (GBP),311,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2015,Count,million pounds (GBP),392,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2015,Count,Million Visits,8,"Special public event e.g. festival, exhibition",Visits
S92000003,2013,Count,Million Visits,6,"Special public event e.g. festival, exhibition",Visits
S92000003,2016,Count,million pounds (GBP),205,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2013,Count,million pounds (GBP),228,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2014,Count,Million Visits,8,"Special public event e.g. festival, exhibition",Visits
S92000003,2016,Count,Million Visits,6,"Special public event e.g. festival, exhibition",Visits
S92000003,2013,Count,million pounds (GBP),143,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2015,Count,million pounds (GBP),215,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2014,Count,million pounds (GBP),317,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2016,Count,Million Visits,8,"Sport participation, e.g. exercise classes, gym",Visits
S92000003,2013,Count,Million Visits,5,"Sport participation, e.g. exercise classes, gym",Visits
S92000003,2016,Count,million pounds (GBP),289,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2014,Count,Million Visits,5,"Sport participation, e.g. exercise classes, gym",Visits
S92000003,2015,Count,Million Visits,7,"Sport participation, e.g. exercise classes, gym",Visits
