category,latitude,longitude,datazone,name
Potholes,55.88042,-4.26086,S01010309,Keppochhill - 01
Potholes,55.83968,-4.21035,S01010048,Dalmarnock - 03
Potholes,55.82238,-4.37915,S01009793,Pollok South and West - 02
Pavements/footpaths,55.83505,-4.26276,S01009903,Battlefield - 05
Potholes,55.89093,-4.35166,S01010457,Knightswood Park West - 03
Potholes,55.84581,-4.32772,S01009856,Mosspark - 05
Potholes,55.81015,-4.24452,S01009989,Castlemilk - 04
Pavements/footpaths,55.8567,-4.26011,S01010273,City Centre South - 02
Pavements/footpaths,55.87546,-4.16174,S01010169,Craigend and Ruchazie - 05
Potholes,55.88544,-4.35072,S01010451,Knightswood East - 02
Potholes,55.81175,-4.35768,S01009769,Darnley West - 02
Pavements/footpaths,55.88647,-4.27038,S01010316,Ruchill - 02
Potholes,55.8338,-4.25609,S01009897,Govanhill East and Aikenhead - 04
Potholes,55.88408,-4.32568,S01010411,Kelvinside and Jordanhill - 04
Pavements/footpaths,55.86231,-4.24835,S01010260,City Centre East - 02
Potholes,55.85226,-4.10636,S01010089,Baillieston East - 02
Pavements/footpaths,55.8725,-4.28926,S01010379,Kelvingrove and University - 06
Potholes,55.80213,-4.34745,S01009771,Darnley West - 04
Potholes,55.86141,-4.26203,S01010275,City Centre South - 04
Potholes,55.86145,-4.26255,S01010275,City Centre South - 04
Pavements/footpaths,55.8525,-4.25531,S01010032,Laurieston and Tradeston - 02
Potholes,55.8497,-4.31101,S01009852,Mosspark - 01
Potholes,55.85064,-4.1326,S01010097,Garrowhill West - 04
Potholes,55.87673,-4.35491,S01010436,Scotstoun South and West - 05
Potholes,55.89398,-4.34957,S01010457,Knightswood Park West - 03
Potholes,55.81718,-4.25045,S01009998,Kingspark South - 06
Potholes,55.89398,-4.34968,S01010457,Knightswood Park West - 03
Potholes,55.82849,-4.25577,S01010014,Mount Florida - 04
Potholes,55.89467,-4.34062,S01010470,Anniesland West - 01
Potholes,55.85593,-4.30849,S01009861,Ibrox - 03
Pavements/footpaths,55.87072,-4.30248,S01010386,Hillhead - 06
Potholes,55.83968,-4.25385,S01009896,Govanhill East and Aikenhead - 03
Potholes,55.89474,-4.38197,S01010446,Yoker North - 04
Potholes,55.83274,-4.25535,S01009902,Battlefield - 04
Potholes,55.81663,-4.22857,S01009996,Kingspark South - 04
Pavements/footpaths,55.81263,-4.3085,S01009945,Carnwadric East - 02
Pavements/footpaths,55.87272,-4.16307,S01010169,Craigend and Ruchazie - 05
Pavements/footpaths,55.89418,-4.34846,S01010457,Knightswood Park West - 03
Potholes,55.8464,-4.23588,S01010040,Calton and Gallowgate - 04
Potholes,55.85074,-4.24956,S01010034,Laurieston and Tradeston - 04
Potholes,55.86252,-4.31455,S01009843,Govan and Linthouse - 03
Potholes,55.83526,-4.33586,S01009799,Pollok North and East - 01
Pavements/footpaths,55.85758,-4.27854,S01010276,Anderston - 01
