category,latitude,longitude,datazone,name
Potholes,55.81681,-4.26269,S01009955,Merrylee and Millbrae - 01
Potholes,55.85345,-4.3646,S01009829,Hillington - 01
Potholes,55.82364,-4.26871,S01009899,Battlefield - 01
Potholes,55.85131,-4.16949,S01010141,Shettleston North - 05
Potholes,55.8413,-4.24738,S01010029,Gorbals and Hutchesontown - 07
Potholes,55.81872,-4.37133,S01009793,Pollok South and West - 02
Potholes,55.81779,-4.36701,S01009797,Pollok South and West - 06
Potholes,55.83544,-4.16561,S01010071,Shettleston South - 03
Potholes,55.86623,-4.29207,S01010282,Finnieston and Kelvinhaugh - 01
Potholes,55.8782,-4.32797,S01010421,Victoria Park - 02
Potholes,55.86092,-4.26179,S01010275,City Centre South - 04
Potholes,55.87279,-4.28286,S01010291,Woodlands - 03
Potholes,55.87717,-4.29286,S01010406,Dowanhill - 04
Potholes,55.84294,-4.12488,S01010083,Baillieston West - 01
Potholes,55.84845,-4.34323,S01009811,Cardonald North - 02
Potholes,55.84244,-4.18522,S01010066,Braidfauld - 06
Potholes,55.8497,-4.32444,S01009851,Craigton - 04
Potholes,55.84329,-4.27973,S01009877,Pollokshields West - 03
Potholes,55.8477,-4.29742,S01009871,Kingston West and Dumbreck - 01
Potholes,55.83305,-4.27916,S01009921,Shawlands West - 03
Potholes,55.84893,-4.11844,S01010085,Baillieston West - 03
Potholes,55.81294,-4.30829,S01009945,Carnwadric East - 02
Potholes,55.88567,-4.28606,S01010320,Ruchill - 06
Potholes,55.84002,-4.27211,S01009884,Pollokshields East - 04
Potholes,55.85411,-4.15312,S01010136,Greenfield - 06
Potholes,55.81801,-4.27202,S01009955,Merrylee and Millbrae - 01
Potholes,55.89576,-4.32783,S01010473,Anniesland West - 04
Pavements/footpaths,55.89721,-4.34863,S01010480,Blairdardie East - 03
Potholes,55.88395,-4.21502,S01010201,Barmulloch - 03
Potholes,55.8845,-4.28077,S01010318,Ruchill - 04
Potholes,55.84171,-4.29748,S01009879,Pollokshields West - 05
Potholes,55.87431,-4.184,S01010182,Blackhill and Barmulloch East - 04
Potholes,55.83736,-4.26632,S01009907,Strathbungo - 03
Potholes,55.80599,-4.34186,S01009767,Darnley North - 04
Pavements/footpaths,55.85775,-4.24246,S01010258,Gallowgate North and Bellgrove - 05
Potholes,55.88387,-4.36265,S01010435,Scotstoun South and West - 04
Potholes,55.81339,-4.32384,S01009939,Carnwadric West - 01
Potholes,55.84916,-4.37206,S01009827,Penilee - 06
Potholes,55.81256,-4.30912,S01009945,Carnwadric East - 02
Potholes,55.84471,-4.3582,S01009820,Cardonald West and Central - 06
Potholes,55.84236,-4.26264,S01010033,Laurieston and Tradeston - 03
Potholes,55.89571,-4.29678,S01010357,Maryhill West - 04
Potholes,55.86592,-4.13135,S01010120,North Barlanark and Easterhouse South - 03
Potholes,55.88174,-4.09393,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
Potholes,55.87742,-4.30408,S01010404,Dowanhill - 02
Potholes,55.86509,-4.23581,S01010262,City Centre East - 04
Potholes,55.9038,-4.17968,S01010188,Robroyston and Millerston - 03
Potholes,55.87071,-4.32035,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.84016,-4.28241,S01009912,Maxwell Park - 01
Potholes,55.827,-4.34662,S01009789,Crookston North - 02
Potholes,55.84775,-4.2021,S01010050,Parkhead West and Barrowfield - 02
Potholes,55.8176,-4.29298,S01009953,Newlands - 06
Potholes,55.8765,-4.3032,S01010401,Partickhill and Hyndland - 05
Potholes,55.87712,-4.30636,S01010402,Partickhill and Hyndland - 06
Potholes,55.87698,-4.30693,S01010400,Partickhill and Hyndland - 04
Potholes,55.86758,-4.27084,S01010266,City Centre West - 01
Potholes,55.86518,-4.2679,S01010267,City Centre West - 02
Potholes,55.84067,-4.31256,S01009852,Mosspark - 01
Potholes,55.83872,-4.29941,S01009914,Maxwell Park - 03
Potholes,55.84063,-4.289,S01009914,Maxwell Park - 03
Potholes,55.80593,-4.34172,S01009767,Darnley North - 04
Potholes,55.85415,-4.26302,S01010032,Laurieston and Tradeston - 02
Potholes,55.85248,-4.28283,S01009867,Kinning Park and Festival Park - 02
Potholes,55.8736,-4.33923,S01010436,Scotstoun South and West - 05
Potholes,55.85436,-4.2932,S01009862,Ibrox East and Cessnock - 01
Pavements/footpaths,55.88262,-4.22011,S01010211,Springburn - 03
Potholes,55.8688,-4.23468,S01010262,City Centre East - 04
Potholes,55.82872,-4.24625,S01010021,Toryglen and Oatlands - 06
Potholes,55.83667,-4.265,S01009893,Govanhill West - 07
Potholes,55.8331,-4.27691,S01009921,Shawlands West - 03
Potholes,55.86708,-4.27099,S01010266,City Centre West - 01
Potholes,55.90046,-4.37567,S01010486,Blairdardie West - 02
Potholes,55.90046,-4.353,S01010480,Blairdardie East - 03
Potholes,55.8362,-4.27876,S01009915,Maxwell Park - 04
Potholes,55.8361,-4.27876,S01009915,Maxwell Park - 04
Potholes,55.86516,-4.11998,S01010122,North Barlanark and Easterhouse South - 05
Potholes,55.84737,-4.30376,S01009873,Kingston West and Dumbreck - 03
Potholes,55.84653,-4.10919,S01010092,Baillieston East - 05
Potholes,55.88351,-4.28762,S01010322,Ruchill - 08
Potholes,55.8617,-4.22139,S01010251,Dennistoun - 04
Potholes,55.90205,-4.37278,S01010486,Blairdardie West - 02
Potholes,55.8283,-4.2592,S01010014,Mount Florida - 04
Potholes,55.89575,-4.32161,S01010466,Anniesland East - 02
Pavements/footpaths,55.81598,-4.2632,S01009964,Muirend and Old Cathcart - 06
Potholes,55.78488,-4.25037,S01009969,Carmunnock South - 01
Potholes,55.83767,-4.26136,S01009887,Govanhill West - 01
Potholes,55.84016,-4.31881,S01009852,Mosspark - 01
Potholes,55.88309,-4.25423,S01010224,Cowlairs and Port Dundas - 06
Potholes,55.86625,-4.29239,S01010282,Finnieston and Kelvinhaugh - 01
Potholes,55.86642,-4.29243,S01010284,Finnieston and Kelvinhaugh - 03
Potholes,55.86502,-4.2664,S01010267,City Centre West - 02
Potholes,55.84507,-4.15652,S01010073,Shettleston South - 05
Potholes,55.88178,-4.20539,S01010202,Barmulloch - 04
Potholes,55.78597,-4.24655,S01009969,Carmunnock South - 01
Potholes,55.84283,-4.26241,S01010033,Laurieston and Tradeston - 03
Pavements/footpaths,55.90044,-4.28824,S01010342,Summerston Central and West - 03
Potholes,55.85942,-4.2705,S01010277,Anderston - 02
Potholes,55.83153,-4.2919,S01009916,Maxwell Park - 05
Potholes,55.83277,-4.28105,S01009920,Shawlands West - 02
Potholes,55.86899,-4.23608,S01010261,City Centre East - 03
Potholes,55.80285,-4.34738,S01009770,Darnley West - 03
Potholes,55.89313,-4.27689,S01010351,Maryhill East - 02
Potholes,55.89216,-4.33108,S01010476,Anniesland West - 07
Potholes,55.85233,-4.31879,S01009843,Govan and Linthouse - 03
Potholes,55.82978,-4.29583,S01009913,Maxwell Park - 02
Potholes,55.83297,-4.29079,S01009916,Maxwell Park - 05
Potholes,55.83356,-4.29043,S01009916,Maxwell Park - 05
Potholes,55.89345,-4.32213,S01010469,Anniesland East - 05
Potholes,55.86704,-4.27552,S01010289,Woodlands - 01
Potholes,55.87588,-4.31908,S01010418,Broomhill - 04
Pavements/footpaths,55.8439,-4.22673,S01010045,Bridgeton - 04
Potholes,55.84946,-4.17341,S01010142,Tollcross - 01
Potholes,55.83322,-4.28998,S01009916,Maxwell Park - 05
Pavements/footpaths,55.85966,-4.32773,S01009840,Drumoyne and Shieldhall - 08
Potholes,55.87305,-4.32496,S01010415,Broomhill - 01
Potholes,55.84703,-4.30718,S01009873,Kingston West and Dumbreck - 03
Potholes,55.89013,-4.368,S01010449,Knightswood West - 03
Potholes,55.87408,-4.28891,S01010379,Kelvingrove and University - 06
Pavements/footpaths,55.8845,-4.26693,S01010314,Keppochhill - 06
Potholes,55.82122,-4.30493,S01009937,Pollokshaws - 05
Potholes,55.81181,-4.34033,S01009782,Nitshill - 08
Potholes,55.86624,-4.28898,S01010287,Finnieston and Kelvinhaugh - 06
Potholes,55.87769,-4.32662,S01010418,Broomhill - 04
Pavements/footpaths,55.86047,-4.26014,S01010275,City Centre South - 04
Potholes,55.89609,-4.29666,S01010357,Maryhill West - 04
Pavements/footpaths,55.85025,-4.23021,S01010042,Bridgeton - 01
Potholes,55.87581,-4.32486,S01010418,Broomhill - 04
Pavements/footpaths,55.88565,-4.25163,S01010323,Possil Park - 01
Potholes,55.90078,-4.28568,S01010342,Summerston Central and West - 03
Potholes,55.83493,-4.33074,S01009854,Mosspark - 03
Potholes,55.85201,-4.26714,S01010032,Laurieston and Tradeston - 02
Pavements/footpaths,55.82378,-4.28406,S01009932,Langside - 06
Pavements/footpaths,55.8827,-4.22058,S01010211,Springburn - 03
Potholes,55.815,-4.32383,S01009937,Pollokshaws - 05
Potholes,55.87456,-4.15267,S01010170,Craigend and Ruchazie - 06
Potholes,55.80804,-4.34789,S01009769,Darnley West - 02
Potholes,55.8486,-4.11488,S01010092,Baillieston East - 05
Potholes,55.84987,-4.36476,S01009826,Penilee - 05
Potholes,55.86583,-4.07997,S01010109,Easterhouse East - 05
Pavements/footpaths,55.85266,-4.28274,S01009867,Kinning Park and Festival Park - 02
Potholes,55.84992,-4.3648,S01009826,Penilee - 05
Potholes,55.87787,-4.29506,S01010406,Dowanhill - 04
Potholes,55.8249,-4.29977,S01009935,Pollokshaws - 03
Potholes,55.8147,-4.32404,S01009937,Pollokshaws - 05
Potholes,55.84599,-4.35371,S01009819,Cardonald West and Central - 05
Potholes,55.86208,-4.31384,S01009843,Govan and Linthouse - 03
Potholes,55.82705,-4.34784,S01009789,Crookston North - 02
Potholes,55.86288,-4.24676,S01010260,City Centre East - 02
Potholes,55.84777,-4.22154,S01010045,Bridgeton - 04
Pavements/footpaths,55.8679,-4.12359,S01010122,North Barlanark and Easterhouse South - 05
Potholes,55.88958,-4.30823,S01010364,Kelvindale - 02
Potholes,55.84727,-4.26694,S01010032,Laurieston and Tradeston - 02
Potholes,55.86774,-4.19016,S01010175,Riddrie and Hogganfield - 04
Potholes,55.85068,-4.30589,S01009864,Ibrox East and Cessnock - 03
Pavements/footpaths,55.83211,-4.36711,S01009792,Pollok South and West - 01
Potholes,55.8509,-4.11799,S01010099,Garrowhill West - 06
Potholes,55.87864,-4.29583,S01010404,Dowanhill - 02
Pavements/footpaths,55.86059,-4.25887,S01010275,City Centre South - 04
Potholes,55.82181,-4.36354,S01009797,Pollok South and West - 06
Potholes,55.87188,-4.33119,S01010423,Whiteinch - 01
Potholes,55.82429,-4.34482,S01009789,Crookston North - 02
Potholes,55.82931,-4.33923,S01009788,Crookston North - 01
Potholes,55.86939,-4.23464,S01010261,City Centre East - 03
Pavements/footpaths,55.83205,-4.36731,S01009792,Pollok South and West - 01
Potholes,55.82543,-4.24267,S01010000,Kingspark North - 02
Potholes,55.8178,-4.36684,S01009797,Pollok South and West - 06
Pavements/footpaths,55.85675,-4.1615,S01010134,Greenfield - 04
Pavements/footpaths,55.87071,-4.31799,S01010390,Glasgow Harbour and Partick South - 03
Potholes,55.85824,-4.3079,S01009861,Ibrox - 03
Potholes,55.83869,-4.17693,S01010071,Shettleston South - 03
Pavements/footpaths,55.84625,-4.15743,S01010073,Shettleston South - 05
Potholes,55.87049,-4.3202,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.90582,-4.35582,S01010489,Drumchapel South - 02
Pavements/footpaths,55.84982,-4.36444,S01009826,Penilee - 05
Potholes,55.83727,-4.30392,S01009914,Maxwell Park - 03
Potholes,55.85319,-4.29788,S01009862,Ibrox East and Cessnock - 01
Pavements/footpaths,55.81745,-4.26228,S01010009,Cathcart - 05
Potholes,55.8294,-4.36327,S01009795,Pollok South and West - 04
Pavements/footpaths,55.85318,-4.29809,S01009862,Ibrox East and Cessnock - 01
Potholes,55.87198,-4.2335,S01010226,Sighthill - 02
Potholes,55.86848,-4.23523,S01010262,City Centre East - 04
Potholes,55.83203,-4.35908,S01009805,Pollok North and East - 07
Potholes,55.85406,-4.21416,S01010245,Carntyne West and Haghill - 04
Potholes,55.84935,-4.3103,S01009873,Kingston West and Dumbreck - 03
Potholes,55.88762,-4.24936,S01010328,Possil Park - 06
Potholes,55.88212,-4.18856,S01010188,Robroyston and Millerston - 03
Potholes,55.85588,-4.31096,S01009861,Ibrox - 03
Pavements/footpaths,55.87647,-4.30264,S01010401,Partickhill and Hyndland - 05
Potholes,55.8561,-4.29321,S01009862,Ibrox East and Cessnock - 01
Potholes,55.81951,-4.36874,S01009797,Pollok South and West - 06
Potholes,55.83627,-4.16781,S01010071,Shettleston South - 03
Potholes,55.89691,-4.26586,S01010334,Milton West - 05
Potholes,55.83611,-4.2525,S01009898,Govanhill East and Aikenhead - 05
Pavements/footpaths,55.88448,-4.26682,S01010314,Keppochhill - 06
Potholes,55.8356,-4.28733,S01009915,Maxwell Park - 04
Potholes,55.88471,-4.26453,S01010314,Keppochhill - 06
Pavements/footpaths,55.86379,-4.13493,S01010120,North Barlanark and Easterhouse South - 03
Pavements/footpaths,55.89359,-4.27086,S01010333,Milton West - 04
Potholes,55.8832,-4.28795,S01010322,Ruchill - 08
Potholes,55.84914,-4.2457,S01010027,Gorbals and Hutchesontown - 05
Potholes,55.8335,-4.29044,S01009916,Maxwell Park - 05
Potholes,55.85288,-4.10576,S01010101,Garrowhill East and Swinton - 02
Potholes,55.88829,-4.22844,S01010210,Springburn - 02
Potholes,55.8884,-4.22843,S01010210,Springburn - 02
Potholes,55.80539,-4.23151,S01009980,Glenwood North - 01
Pavements/footpaths,55.86074,-4.26024,S01010275,City Centre South - 04
Potholes,55.86863,-4.19213,S01010176,Riddrie and Hogganfield - 05
Potholes,55.87391,-4.30248,S01010380,Kelvingrove and University - 07
Potholes,55.83209,-4.27985,S01009920,Shawlands West - 02
Potholes,55.82487,-4.27452,S01009929,Langside - 03
Potholes,55.81099,-4.28064,S01009959,Muirend and Old Cathcart - 01
Pavements/footpaths,55.90241,-4.36801,S01010486,Blairdardie West - 02
Potholes,55.80774,-4.34849,S01009766,Darnley North - 03
Potholes,55.81979,-4.29952,S01009938,Pollokshaws - 06
Potholes,55.92681,-4.2878,S01010345,Summerston Central and West - 06
Potholes,55.82525,-4.26521,S01009901,Battlefield - 03
Potholes,55.86366,-4.25443,S01010275,City Centre South - 04
Potholes,55.86036,-4.21142,S01010244,Carntyne West and Haghill - 03
Potholes,55.89216,-4.34361,S01010477,Anniesland West - 08
Potholes,55.82932,-4.23087,S01010019,Toryglen and Oatlands - 04
Potholes,55.81163,-4.33597,S01009765,Darnley North - 02
Potholes,55.81073,-4.27724,S01009959,Muirend and Old Cathcart - 01
Potholes,55.86885,-4.25059,S01010297,Woodside - 01
Potholes,55.85947,-4.2704,S01010277,Anderston - 02
Potholes,55.87104,-4.30583,S01010396,Partick - 04
Potholes,55.87304,-4.1605,S01010169,Craigend and Ruchazie - 05
Potholes,55.79487,-4.24494,S01009972,Carmunnock South - 04
Pavements/footpaths,55.84667,-4.12758,S01010085,Baillieston West - 03
Potholes,55.8803,-4.23247,S01010208,Petershill - 06
Potholes,55.87797,-4.24251,S01010221,Cowlairs and Port Dundas - 03
Potholes,55.88172,-4.35033,S01010427,Scotstoun North and East - 01
Potholes,55.82609,-4.29848,S01009935,Pollokshaws - 03
Potholes,55.80936,-4.27153,S01009960,Muirend and Old Cathcart - 02
Potholes,55.81811,-4.23245,S01009997,Kingspark South - 05
Potholes,55.81899,-4.29626,S01009934,Pollokshaws - 02
Potholes,55.87164,-4.23089,S01010225,Sighthill - 01
Potholes,55.89313,-4.20324,S01010198,Balornock - 05
Potholes,55.84347,-4.34304,S01009807,Cardonald South and East - 02
Potholes,55.90056,-4.3502,S01010480,Blairdardie East - 03
Potholes,55.81815,-4.26481,S01010009,Cathcart - 05
Potholes,55.88736,-4.22437,S01010210,Springburn - 02
Potholes,55.86005,-4.32299,S01009841,Govan and Linthouse - 01
Potholes,55.85713,-4.25714,S01010274,City Centre South - 03
Potholes,55.84599,-4.35507,S01009819,Cardonald West and Central - 05
Potholes,55.83412,-4.27481,S01009911,Strathbungo - 07
Potholes,55.81914,-4.36982,S01009793,Pollok South and West - 02
Potholes,55.91301,-4.37092,S01010499,Drumry East - 04
Potholes,55.86444,-4.23738,S01010262,City Centre East - 04
Potholes,55.7981,-4.32892,S01009758,Darnley East - 01
Potholes,55.89206,-4.31179,S01010364,Kelvindale - 02
Potholes,55.80088,-4.3328,S01009761,Darnley East - 04
Potholes,55.85689,-4.26994,S01010276,Anderston - 01
Potholes,55.85158,-4.31891,S01009843,Govan and Linthouse - 03
Potholes,55.87072,-4.32927,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.8685,-4.27295,S01010296,Woodlands - 08
Potholes,55.86656,-4.18548,S01010153,Carntyne - 02
Potholes,55.88653,-4.24968,S01010328,Possil Park - 06
Potholes,55.84229,-4.26273,S01009882,Pollokshields East - 02
Potholes,55.87993,-4.35121,S01010429,Scotstoun North and East - 03
Potholes,55.85192,-4.35082,S01009830,Hillington - 02
Potholes,55.83643,-4.27478,S01009908,Strathbungo - 04
Potholes,55.80911,-4.36453,S01009768,Darnley West - 01
Potholes,55.81073,-4.24735,S01009968,Carmunnock North - 04
Potholes,55.88448,-4.28073,S01010318,Ruchill - 04
Potholes,55.87052,-4.26829,S01010295,Woodlands - 07
Potholes,55.90577,-4.29036,S01010348,Summerston North - 03
Potholes,55.85696,-4.34029,S01009836,Drumoyne and Shieldhall - 04
Potholes,55.85194,-4.17481,S01010145,Tollcross - 04
Potholes,55.8535,-4.1776,S01010147,Old Shettleston and Parkhead North - 01
Potholes,55.80837,-4.32596,S01009940,Carnwadric West - 02
Potholes,55.83246,-4.29234,S01009916,Maxwell Park - 05
Potholes,55.84922,-4.31018,S01009873,Kingston West and Dumbreck - 03
Potholes,55.82108,-4.23886,S01009999,Kingspark North - 01
Potholes,55.86771,-4.27458,S01010289,Woodlands - 01
Potholes,55.89079,-4.3678,S01010449,Knightswood West - 03
Potholes,55.8669,-4.17893,S01010174,Riddrie and Hogganfield - 03
Potholes,55.87754,-4.35439,S01010436,Scotstoun South and West - 05
Potholes,55.82941,-4.24772,S01010021,Toryglen and Oatlands - 06
Potholes,55.81283,-4.24557,S01009993,Kingspark South - 01
Potholes,55.87814,-4.29617,S01010404,Dowanhill - 02
Pavements/footpaths,55.89419,-4.34558,S01010461,Knightswood Park East - 02
Potholes,55.85652,-4.32923,S01009840,Drumoyne and Shieldhall - 08
Potholes,55.87401,-4.30432,S01010397,Partickhill and Hyndland - 01
Potholes,55.82793,-4.16865,S01010071,Shettleston South - 03
Potholes,55.86426,-4.23766,S01010262,City Centre East - 04
Potholes,55.81095,-4.27781,S01009959,Muirend and Old Cathcart - 01
Potholes,55.88148,-4.20534,S01010202,Barmulloch - 04
Potholes,55.84,-4.34795,S01009800,Pollok North and East - 02
Potholes,55.81263,-4.26845,S01009962,Muirend and Old Cathcart - 04
Potholes,55.86664,-4.13868,S01010129,Barlanark - 07
Potholes,55.86362,-4.13823,S01010129,Barlanark - 07
Potholes,55.84808,-4.26131,S01010032,Laurieston and Tradeston - 02
Potholes,55.86675,-4.15523,S01010129,Barlanark - 07
Potholes,55.87956,-4.12254,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
Potholes,55.90803,-4.38615,S01010500,Drumry West - 01
Potholes,55.88975,-4.28894,S01010359,Wyndford - 02
Potholes,55.88809,-4.37838,S01010440,Yoker South - 04
Potholes,55.88824,-4.37794,S01010438,Yoker South - 02
Potholes,55.88514,-4.37141,S01010442,Yoker South - 06
Potholes,55.8205,-4.25483,S01010004,Kingspark North - 06
Potholes,55.8653,-4.33775,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.85173,-4.25951,S01010032,Laurieston and Tradeston - 02
Potholes,55.82523,-4.2532,S01010013,Mount Florida - 03
Potholes,55.85421,-4.19761,S01010052,Parkhead West and Barrowfield - 04
Potholes,55.88717,-4.21222,S01010194,Balornock - 01
Potholes,55.84128,-4.24744,S01010029,Gorbals and Hutchesontown - 07
Potholes,55.83419,-4.28582,S01009916,Maxwell Park - 05
Potholes,55.82328,-4.34631,S01009775,Nitshill - 01
Potholes,55.83163,-4.363,S01009805,Pollok North and East - 07
Potholes,55.87329,-4.26538,S01010300,Woodside - 04
Potholes,55.85189,-4.35495,S01009831,Hillington - 03
Potholes,55.85199,-4.3529,S01009812,Cardonald North - 03
Potholes,55.86591,-4.13136,S01010120,North Barlanark and Easterhouse South - 03
Potholes,55.85136,-4.26504,S01010032,Laurieston and Tradeston - 02
Potholes,55.83403,-4.33587,S01009854,Mosspark - 03
Potholes,55.87051,-4.12446,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
Potholes,55.84243,-4.26898,S01009883,Pollokshields East - 03
Potholes,55.86214,-4.22693,S01010262,City Centre East - 04
Potholes,55.85682,-4.26358,S01010273,City Centre South - 02
Potholes,55.85884,-4.25937,S01010275,City Centre South - 04
Potholes,55.85769,-4.24933,S01010264,City Centre East - 06
Potholes,55.81703,-4.24953,S01009998,Kingspark South - 06
Potholes,55.87709,-4.3064,S01010402,Partickhill and Hyndland - 06
Potholes,55.85499,-4.25981,S01010032,Laurieston and Tradeston - 02
Potholes,55.80157,-4.24525,S01009971,Carmunnock South - 03
Potholes,55.84882,-4.19772,S01010050,Parkhead West and Barrowfield - 02
Potholes,55.84352,-4.34503,S01009807,Cardonald South and East - 02
Potholes,55.88064,-4.17935,S01010182,Blackhill and Barmulloch East - 04
Potholes,55.8539,-4.19763,S01010052,Parkhead West and Barrowfield - 04
Potholes,55.86435,-4.33149,S01009847,Govan and Linthouse - 07
Potholes,55.85277,-4.18319,S01010146,Tollcross - 05
Potholes,55.8528,-4.18524,S01010056,Parkhead East and Braidfauld North - 01
Potholes,55.84677,-4.19857,S01010068,Braidfauld - 08
Potholes,55.8479,-4.1505,S01010138,Shettleston North - 02
Potholes,55.84536,-4.34769,S01009806,Cardonald South and East - 01
Potholes,55.84569,-4.25892,S01010033,Laurieston and Tradeston - 03
Potholes,55.81514,-4.36116,S01009779,Nitshill - 05
Potholes,55.8524,-4.26488,S01010032,Laurieston and Tradeston - 02
Potholes,55.84279,-4.24145,S01010022,Toryglen and Oatlands - 07
Pavements/footpaths,55.8577,-4.13054,S01010123,Barlanark - 01
Potholes,55.8417,-4.16159,S01010069,Shettleston South - 01
Pavements/footpaths,55.8369,-4.15427,S01010074,Carmyle and Mount Vernon South - 01
Potholes,55.82944,-4.33989,S01009789,Crookston North - 02
Potholes,55.84532,-4.35021,S01009819,Cardonald West and Central - 05
Potholes,55.84117,-4.2626,S01010033,Laurieston and Tradeston - 03
Potholes,55.85031,-4.3498,S01009812,Cardonald North - 03
Potholes,55.84589,-4.27493,S01009875,Pollokshields West - 01
Potholes,55.88873,-4.32126,S01010468,Anniesland East - 04
Potholes,55.84557,-4.2714,S01009875,Pollokshields West - 01
Potholes,55.84574,-4.27388,S01009875,Pollokshields West - 01
Potholes,55.80882,-4.327,S01009940,Carnwadric West - 02
Potholes,55.8736,-4.2451,S01010220,Cowlairs and Port Dundas - 02
Potholes,55.86868,-4.23514,S01010262,City Centre East - 04
Potholes,55.88928,-4.369,S01010449,Knightswood West - 03
Potholes,55.83046,-4.34708,S01009790,Crookston North - 03
Potholes,55.84586,-4.18714,S01010059,Parkhead East and Braidfauld North - 04
Potholes,55.85236,-4.18605,S01010056,Parkhead East and Braidfauld North - 01
Potholes,55.8828,-4.30497,S01010412,Kelvinside and Jordanhill - 05
Pavements/footpaths,55.88389,-4.30782,S01010412,Kelvinside and Jordanhill - 05
Potholes,55.85956,-4.23373,S01010257,Gallowgate North and Bellgrove - 04
Potholes,55.84595,-4.27494,S01009875,Pollokshields West - 01
Potholes,55.87992,-4.30815,S01010403,Dowanhill - 01
Potholes,55.83826,-4.26111,S01009891,Govanhill West - 05
Potholes,55.84157,-4.17794,S01010064,Braidfauld - 04
Potholes,55.89343,-4.30739,S01010465,Anniesland East - 01
Potholes,55.89087,-4.18817,S01010192,Robroyston and Millerston - 07
Potholes,55.86701,-4.12836,S01010114,"Garthamlock, Auchinlea and Gartloch - 02"
Potholes,55.86273,-4.35205,S01009833,Drumoyne and Shieldhall - 01
Pavements/footpaths,55.90101,-4.28562,S01010342,Summerston Central and West - 03
Potholes,55.82276,-4.34856,S01009787,Crookston South - 04
Potholes,55.84812,-4.3561,S01009821,Cardonald West and Central - 07
Potholes,55.86508,-4.35061,S01009833,Drumoyne and Shieldhall - 01
Pavements/footpaths,55.84468,-4.18954,S01010066,Braidfauld - 06
Potholes,55.88727,-4.2754,S01010318,Ruchill - 04
Potholes,55.89012,-4.18759,S01010193,Robroyston and Millerston - 08
Potholes,55.84898,-4.11065,S01010092,Baillieston East - 05
Potholes,55.82551,-4.2646,S01009901,Battlefield - 03
Potholes,55.83692,-4.11232,S01010088,Baillieston East - 01
Potholes,55.85021,-4.24749,S01010034,Laurieston and Tradeston - 04
Potholes,55.84559,-4.27165,S01009875,Pollokshields West - 01
Potholes,55.89646,-4.32041,S01010466,Anniesland East - 02
Potholes,55.84524,-4.25439,S01010030,Gorbals and Hutchesontown - 08
Pavements/footpaths,55.89858,-4.35074,S01010480,Blairdardie East - 03
Potholes,55.86451,-4.27478,S01010280,Anderston - 05
Potholes,55.88988,-4.18801,S01010192,Robroyston and Millerston - 07
Pavements/footpaths,55.89028,-4.348,S01010464,Knightswood Park East - 05
Potholes,55.8916,-4.29249,S01010356,Maryhill West - 03
Pavements/footpaths,55.85091,-4.31931,S01009843,Govan and Linthouse - 03
Potholes,55.85064,-4.30588,S01009864,Ibrox East and Cessnock - 03
Potholes,55.83092,-4.15901,S01010071,Shettleston South - 03
Potholes,55.87323,-4.26982,S01010300,Woodside - 04
Potholes,55.82259,-4.32919,S01009775,Nitshill - 01
Potholes,55.82255,-4.3291,S01009937,Pollokshaws - 05
Potholes,55.89693,-4.30545,S01010465,Anniesland East - 01
Potholes,55.90238,-4.28677,S01010341,Summerston Central and West - 02
Potholes,55.87215,-4.32988,S01010423,Whiteinch - 01
Potholes,55.83951,-4.31886,S01009852,Mosspark - 01
Potholes,55.81819,-4.23506,S01009995,Kingspark South - 03
Potholes,55.84452,-4.34658,S01009815,Cardonald West and Central - 01
Potholes,55.84454,-4.2842,S01009871,Kingston West and Dumbreck - 01
Potholes,55.85383,-4.2851,S01009866,Kinning Park and Festival Park - 01
Potholes,55.8048,-4.21846,S01009985,Glenwood North - 06
Pavements/footpaths,55.87636,-4.32396,S01010418,Broomhill - 04
Potholes,55.80808,-4.36966,S01009767,Darnley North - 04
Potholes,55.86562,-4.25722,S01010271,City Centre West - 06
Potholes,55.80475,-4.21855,S01009978,Glenwood South - 06
Potholes,55.88018,-4.23179,S01010208,Petershill - 06
Potholes,55.86882,-4.23811,S01010261,City Centre East - 03
Potholes,55.87406,-4.228,S01010225,Sighthill - 01
Potholes,55.87398,-4.22923,S01010222,Cowlairs and Port Dundas - 04
Potholes,55.86358,-4.2369,S01010262,City Centre East - 04
Potholes,55.88967,-4.18801,S01010192,Robroyston and Millerston - 07
Potholes,55.89479,-4.25996,S01010334,Milton West - 05
Potholes,55.8182,-4.25739,S01010010,Cathcart - 06
Potholes,55.84586,-4.27489,S01009875,Pollokshields West - 01
Potholes,55.85335,-4.26471,S01010032,Laurieston and Tradeston - 02
Potholes,55.8623,-4.25487,S01010275,City Centre South - 04
Potholes,55.84128,-4.26618,S01009882,Pollokshields East - 02
Potholes,55.84946,-4.19187,S01010060,Parkhead East and Braidfauld North - 05
Potholes,55.81873,-4.35291,S01009785,Crookston South - 02
Potholes,55.80612,-4.32715,S01009760,Darnley East - 03
Potholes,55.84884,-4.21603,S01010054,Parkhead West and Barrowfield - 06
